ImageNumber,ObjectNumber,FileName_Draq5,FileName_Vimentin,PathName_Draq5,PathName_Vimentin,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_Vimentin,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_Vimentin,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_Vimentin,Intensity_MassDisplacement_Draq5,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensity_Draq5,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_Vimentin,Intensity_MeanIntensity_Draq5,Intensity_MedianIntensity_Draq5,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_Vimentin,Intensity_MinIntensity_Draq5,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensity_Draq5,Intensity_UpperQuartileIntensity_Draq5,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Z_Draq5,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_Vimentin,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_Vimentin,Number_Object_Number
1,1,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,6606,17700,1024,100,847,0,929.1336663639116,51.37026945201332,16.83006847404024,11852,0.8862643181155677,91.71161558123642,1,0.37322033898305085,0.05941746473239032,169.58530082814087,186.81541692269406,20.615528128088304,5.961336957911107,5.0,91.59207569628472,78.54849145179689,82.10236922564869,1181.999133448223,0.5573742828214647,3.9857481266371906,28.238453113473952,43.12939727213234,0.002594033721834421,0.006256198976188898,0.0013122758828103542,0.00018310826271772385,0.30215918333930597,0.011612115427851677,0.020263981074094772,0.00377081185112317,0.006425318715683305,0.004274667440731752,0.0038452735170722008,0.0022735942620784044,0.0059967958368361,0.0022735942620784044,0.0014064841003000284,0.0019481995039950164,0.00521858548745513,928.8317605977384,51.38264201955653,0.0,929.1336663639116,51.37026945201332,0,952.0,49.0,76.0,0.0,0.0,1
1,2,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,5535,11264,595,88,467,0,536.3618789521229,49.4773261065944,10.534301078373968,8199,0.7481996067470664,83.94868003792034,1,0.4913884943181818,0.09492798739661198,115.61375891561126,129.24782396620841,26.40075756488817,7.354237234076899,5.830951894845301,85.72304286821287,76.70668821322752,-78.92304851560549,855.9858941188764,0.6750823271130626,2.816433999221772,21.097200211603194,34.66511089121923,0.00238040741533041,0.0061951628886163235,0.0009918364230543375,6.103608757257462e-05,0.5269417610640121,0.010101472958922386,0.013839933089911938,0.0036154480092705672,0.006268441574875175,0.003811598954219186,0.003356984816491604,0.002288853283971548,0.0059967958368361,0.0022735942620784044,0.0012099947047811111,0.001628459248541638,0.004654001910239458,535.8444964290749,49.57724079219023,0.0,536.3618789521229,49.4773261065944,0,534.0,46.0,33.0,0.0,0.0,2
1,3,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,3041,9570,1024,148,914,61,959.2265702071687,94.0690562315028,23.726561731967163,6387,0.7701535845515753,62.22476561257286,1,0.31776384535005225,0.04214685681375758,103.91230496024903,115.45128842936315,14.560219778561036,3.603855911545358,2.23606797749979,75.95155794496789,66.28134617361722,-59.99317880131254,952.2051942088829,0.4761233756067011,3.226672810036689,12.479148703627288,20.30338022019714,0.002426184481009841,0.006301976274698973,0.0012970168609172106,0.00027466239407658577,1.2703908759769527,0.011932555586099625,0.040497444570064545,0.0037345750116165384,0.0065859105288163175,0.004103633246835675,0.0036926832981407642,0.002288853283971548,0.0059967958368361,0.0022735942620784044,0.001317646379546279,0.0018978832782073187,0.00508125452324748,958.8339648786207,92.86085341998431,0.0,959.2265702071687,94.0690562315028,0,952.0,86.0,85.0,0.0,0.0,3
1,4,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,3222,5544,394,108,317,36,358.22408441961517,73.78088144009932,9.258500670756167,4520,0.5016963947435317,64.04980728414954,1,0.5811688311688312,0.10800884890126894,73.65513907296855,84.20213774008353,19.313207915827967,6.001628997189101,5.0,68.89589733830863,63.71491933194472,72.39824290584941,612.263022691402,0.7128318584070796,1.984222195809707,12.537560232914984,20.522789717651904,0.0023956664372235537,0.006210422143340111,0.0010833905544131994,9.155413135886192e-05,0.6801625843248379,0.009323262609541416,0.013839933089911938,0.0036676935227536174,0.006377678954984146,0.003891235329892919,0.0034485389478504658,0.0022735942620784044,0.005981536582112312,0.0022583352401852608,0.001208372258543455,0.0016813932714609882,0.004806592129170895,357.67218360960334,74.17840708332719,0.0,358.22408441961517,73.78088144009932,0,339.0,79.0,98.0,0.0,0.0,4
1,5,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,5908,13375,353,164,228,57,294.1606296547055,106.6723087339201,14.58508353346656,9440,0.6827708036307474,86.73118948968325,1,0.4417196261682243,0.06856320004650131,109.11782368843306,134.46189051177288,27.018512172212592,7.90088890339008,6.0,96.92718921169624,79.72504173137554,68.11054743553183,1040.589970519733,0.6258474576271187,3.490318192401901,22.74428959027864,37.36418776353821,0.00238040741533041,0.0061951628886163235,0.0010528725106269121,7.629534229636192e-05,0.9303198134460421,0.009887846186757088,0.014236667193472385,0.0036817702451496844,0.006303521374708144,0.003849744345003155,0.0034180209040641785,0.0022735942620784044,0.005966277793049812,0.0022583352401852608,0.0012612730790241805,0.0016456934621362554,0.004715037997812033,295.08699625442046,106.58663564466343,0.0,294.1606296547055,106.6723087339201,0,324.0,111.0,101.0,0.0,0.0,5
1,6,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,5625,12400,600,195,500,71,545.2844444444445,122.33315555555555,17.371748412395167,9579,0.6835650476242052,84.62843753216345,1,0.4536290322580645,0.057564729597768954,114.37271871371861,141.01418368376991,27.65863337187866,7.06911577410862,5.0,96.14224686120318,83.47945771529963,-24.327191769146506,1108.122979108724,0.5872220482305043,3.709483530605212,20.897810560883954,36.78872423898429,0.00238040741533041,0.0061951628886163235,0.0009308003354817629,9.155413135886192e-05,0.5041127149069574,0.008209354244172573,0.0160677507519722,0.0036727559708962495,0.006899268663313129,0.003715166321934925,0.0032959487289190292,0.002288853283971548,0.005981536582112312,0.0022735942620784044,0.0012233555287220134,0.0015548228930225665,0.0045014116913080215,544.8034402786124,122.18227606131263,0.0,545.2844444444445,122.33315555555555,0,513.0,86.0,176.0,0.0,0.0,6
1,7,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,11139,19448,253,221,110,85,183.64898105754557,154.59745039949726,15.166209711516924,16173,0.272945850906354,119.09078591060258,1,0.5727581242287124,0.06593605251552202,126.61818069105115,157.84169284444462,44.181444068749045,13.116263661384451,10.295630140987,134.50260545532728,121.8104121366411,-86.97579435189083,1457.0235200658624,0.6887404934149508,5.053193012718111,46.95280444785021,72.0325487665832,0.002609292743727565,0.006225680932402611,0.0012664988171309233,0.00013733142986893654,1.2384226647284344,0.00807202234864235,0.016891736537218094,0.0037155830975868463,0.006447307113900452,0.004215172317788869,0.003784237429499626,0.0022735942620784044,0.0060120546258986,0.0022583352401852608,0.0011837960713820045,0.0018957594480366073,0.005157549399882555,184.61499384382074,153.82252460094236,0.0,183.64898105754557,154.59745039949726,0,200.0,156.0,185.0,0.0,0.0,7
1,8,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,14393,34251,506,216,273,69,393.6672688112277,146.5891058153269,22.366300375208766,21925,0.8565752518572848,135.37258499184094,1,0.420221307407083,0.044710121174462054,199.65830002108962,237.45736459415193,41.10960958218893,12.008562604948162,9.219544457292887,127.47149446230121,103.02810110510734,-73.86607024615893,2011.3037866999675,0.6564652223489168,6.9307088737841696,61.23184637003578,103.11238436028361,0.002563515678048134,0.006378271151334047,0.0013275349047034979,0.0004882887005805969,1.0435472742266514,0.009445334784686565,0.028198672458529472,0.003700325079436289,0.006886470837650837,0.004254279606060987,0.00379949645139277,0.0022583352401852608,0.005981536582112312,0.002243076218292117,0.0012405257067841682,0.001954650622950239,0.005264362785965204,394.7032452786715,146.46363202344762,0.0,393.6672688112277,146.5891058153269,0,377.0,123.0,143.0,0.0,0.0,8
1,9,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,6680,16375,865,223,734,98,803.5723053892216,164.0438622754491,14.745549898575865,9989,0.5674545418705795,92.22385894567027,1,0.4079389312977099,0.06781707070121412,112.92851506711413,130.4645545732633,30.4138126514911,8.224892337165423,6.324555320336759,112.42095500438354,92.98587301405736,-76.09990793574603,1112.5605332682103,0.6687356091700871,3.8941024362575263,27.544579579494894,41.7554291584529,0.0024872205685824156,0.0061799040995538235,0.001266499049961567,6.103608757257462e-05,1.288320469924624,0.008346685208380222,0.01751735806465149,0.003740732407548056,0.0062553342686756715,0.0041234400568106126,0.0036926832981407642,0.002288853283971548,0.005951018538326025,0.0022583352401852608,0.0012372410352952732,0.001839703940627816,0.005065995268523693,802.2839861151938,164.04561766580125,0.0,803.5723053892216,164.0438622754491,0,772.0,174.0,180.0,0.0,0.0,9
1,10,Trial1_1-0002.tif,Trial1_1-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/R/R_FIP,8232,11514,1024,257,923,143,980.5072886297376,195.89273566569486,6.640850876187281,9641,0.5991947790641501,102.37825908004034,1,0.7149557060969255,0.1505831133154628,117.4700934410087,135.2479205015737,37.64306044943742,12.300305465557331,10.198039027185569,100.0,94.04694246259308,35.43745899282543,828.8376618407356,0.8538533347163157,2.63071644352749,32.910811429610476,51.68955615814775,0.0024109254591166973,0.0061951628886163235,0.0011749446857720613,6.103608757257462e-05,0.7314537802391502,0.008163576945662498,0.014526588842272758,0.003658854580705827,0.006303355637264227,0.003997911981245199,0.003570611122995615,0.002288853283971548,0.0059967958368361,0.0022735942620784044,0.0012113102066552705,0.0017220509323571974,0.0048981462605297565,981.1928987759275,196.14761477442605,0.0,980.5072886297376,195.89273566569486,0,986.0,231.0,159.0,0.0,0.0,10
