ImageNumber,ObjectNumber,FileName_Draq5,FileName_Vimentin,PathName_Draq5,PathName_Vimentin,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_Vimentin,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_Vimentin,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_Vimentin,Intensity_MassDisplacement_Draq5,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensity_Draq5,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_Vimentin,Intensity_MeanIntensity_Draq5,Intensity_MedianIntensity_Draq5,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_Vimentin,Intensity_MinIntensity_Draq5,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensity_Draq5,Intensity_UpperQuartileIntensity_Draq5,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Z_Draq5,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_Vimentin,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_Vimentin,Number_Object_Number
1,1,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,13606,24108,445,334,249,211,345.4367925915038,272.30464500955463,15.989419810376422,17519,0.8660081932416521,131.61951696335396,1,0.5643769703003152,0.06254135621300308,191.146796544201,205.86646157157313,41.012193308819754,12.702719259248823,10.295630140987,113.91836040477673,95.57909604267344,-70.85261124902806,1653.432682994352,0.7766425024259376,5.985275122802705,57.12103530485183,84.96249489253387,0.002563515678048134,0.0061799040995538235,0.0012970168609172106,6.103608757257462e-05,1.098283835575177,0.009002823382616043,0.0238498505204916,0.003909389368257808,0.006248763932132939,0.004198223967723933,0.0037689784076064825,0.0022735942620784044,0.005920500494539738,0.0022583352401852608,0.0013300941329253072,0.001860375989421002,0.00520332669839263,346.504686753688,272.0480725210479,0.0,345.4367925915038,272.30464500955463,0,313.0,317.0,283.0,0.0,0.0,1
1,2,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,11317,16377,1024,368,921,209,981.4996023681188,284.3471768136432,3.764721481651098,12386,0.7026864403221389,120.03854350902395,1,0.6910301031935031,0.26562389937048647,147.3762693390863,159.1257364476281,46.0,16.06677297181241,14.0,102.0,104.85816556900978,1.0260020689095184,731.7066735052979,0.9136928790569998,2.103425678797066,95.10653957328759,71.3477086131461,0.00474555604159832,0.0061951628886163235,0.00315861776471138,7.629487663507462e-05,6.010884860900161,0.010070954449474812,0.029663538560271263,0.003924301639546765,0.006238178640200909,0.008403864944180224,0.0076752882450819016,0.002288853283971548,0.0060120546258986,0.0022583352401852608,0.0013556468575997493,0.004501146235296609,0.01124589890241623,983.7339325529258,278.7669881576694,0.0,981.4996023681188,284.3471768136432,0,1016.0,324.0,243.0,0.0,0.0,2
1,3,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,16971,25235,943,334,698,231,823.5756879382476,280.5952507218196,6.030498888756597,20132,0.9155474418489553,146.99710307927992,1,0.6725183277194373,0.16582375993210502,235.99144860014493,245.17748673155128,42.720018726587654,15.933070193545879,14.035668847618199,101.33876702110337,94.91811984437209,-83.70862639512521,1134.0580079512683,0.8429862904828135,4.00494397059083,114.01796137704514,105.92002941528335,0.0041199359111487865,0.0061799040995538235,0.002182040363550186,6.103608757257462e-05,1.012310271184989,0.012161440216004848,0.029663538560271263,0.003914901242024271,0.006239881034383326,0.006718399704027172,0.006027313880622387,0.0023041123058646917,0.005981536582112312,0.0022735942620784044,0.0014614522933902054,0.0034061461352695287,0.008667124435305595,824.5351466346543,280.27243328883907,0.0,823.5756879382476,280.5952507218196,0,838.0,264.0,268.0,0.0,0.0,3
1,4,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,6619,12464,740,340,576,264,664.0868711285692,304.8048043511104,7.614593612252415,8743,0.8786200574611299,91.8018112381343,1,0.5310494223363287,0.1313267721065153,140.89484154678615,163.01226947687098,28.0,9.584367041309617,8.06225774829855,73.10040223370956,67.2803177985519,-83.9309827181771,795.8376618407356,0.7570627930916162,2.796063208952546,29.672404462471604,41.302068354096264,0.0028381780721247196,0.0061799040995538235,0.0013427941594272852,6.103608757257462e-05,1.6093891319673008,0.01095597818493843,0.0160677507519722,0.00394367166283857,0.006241004634911276,0.004482913500902191,0.004074159078299999,0.002288853283971548,0.005981536582112312,0.0022583352401852608,0.0013476617410607462,0.001981354552060209,0.005569543223828077,665.4997981614567,304.0342392481956,0.0,664.0868711285692,304.8048043511104,0,648.0,289.0,275.0,0.0,0.0,4
1,5,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,2826,6426,521,345,395,294,464.6422505307856,322.9193205944798,17.620304517929124,4819,0.9556099968798759,59.98478935048093,1,0.43977591036414565,0.05675270816020652,126.2616481097682,125.57467897629681,10.63014581273465,3.3756366385022223,2.8284271247461903,49.813487003103404,37.201047260562156,-88.27607751180399,791.0386719675123,0.58642871965138,2.9223621389828622,10.863386108074337,17.613565598614514,0.0023956664372235537,0.0061799040995538235,0.001098649576306343,6.103608757257462e-05,0.48874551905602875,0.007751583121716976,0.012237736023962498,0.0039438085546327425,0.006241125400289994,0.00384408567164697,0.003479056991636753,0.0022735942620784044,0.005935759749263525,0.0022735942620784044,0.0013101145664673455,0.0015846946669442637,0.00474555604159832,465.1301191808865,322.8900569199655,0.0,464.6422505307856,322.9193205944798,0,447.0,330.0,311.0,0.0,0.0,5
1,6,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,2473,4779,585,341,504,282,545.2458552365548,313.40881520420544,6.903252141722983,3413,0.7831724018176954,56.11346891905772,1,0.5174722745344215,0.1448592604572618,74.98821100305717,84.30895563343196,16.76305461424021,5.37249714553233,4.242640687119285,53.020076041779404,46.628016262970476,74.85923783292449,463.17366491630685,0.7245824787576912,1.572396447416395,9.794567903736606,15.414206434972584,0.0023956664372235537,0.0061799040995538235,0.0011673151748254895,6.103608757257462e-05,0.3130487968353837,0.00872816052287817,0.013397421687841415,0.003798059051730423,0.006236406586443384,0.003960601659416339,0.0035477225901558995,0.002288853283971548,0.0059967958368361,0.0022735942620784044,0.00125619843543424,0.0016859721849030748,0.004928664304316044,545.5532967674723,313.46780040800445,0.0,545.2458552365548,313.40881520420544,0,559.0,298.0,312.0,0.0,0.0,6
1,7,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,8045,15429,537,547,426,408,478.6524549409571,480.08514605344936,13.875775351763494,11152,0.7146577055556559,101.20875524081099,1,0.5214207012768164,0.07206804482265623,126.37279164368714,153.0,35.35533905932738,10.750806087388415,8.48528137423857,103.15141974416277,88.39452607422587,-25.640865207527003,1184.3950570473662,0.7213952654232425,4.296208190498874,34.83062531170435,56.411185794044286,0.0025787746999412775,0.006515602581202984,0.0013885712251067162,0.000411993358284235,2.424495490373619,0.011444266885519028,0.018432898446917534,0.003912757914844147,0.006729923626781188,0.004329474867831492,0.003921568859368563,0.002288853283971548,0.0059967958368361,0.0022583352401852608,0.0013772987041730128,0.0019757698572836118,0.005371175706386566,476.257050088636,480.4595976208362,0.0,478.6524549409571,480.08514605344936,0,443.0,471.0,445.0,0.0,0.0,7
1,8,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,18171,29970,460,572,275,410,371.7846018380937,485.5365142259644,10.210072934632974,24247,0.44659242186221704,152.1053443090763,1,0.6063063063063063,0.09794249330070505,167.13396452855017,203.57799488156869,58.52349955359813,17.984426354720043,14.866068747318506,156.93728745942423,149.5410269723664,88.13694371979273,1526.893577750951,0.7494122984286716,5.655588698107749,85.87620473885909,123.96913310233504,0.002944991225376725,0.00634775310754776,0.0014343480579555035,0.00028992118313908577,0.9219027400953177,0.010727092623710632,0.03938353434205055,0.00393569150877366,0.006840873414698519,0.004726003232560623,0.004242008086293936,0.0022735942620784044,0.006057831924408674,0.002243076218292117,0.0013322151516662658,0.0022193008422250835,0.00588998245075345,372.66917767830273,485.2768408828702,0.0,371.7846018380937,485.5365142259644,0,331.0,517.0,430.0,0.0,0.0,8
1,9,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,17139,34905,937,631,742,452,848.9978411809324,544.4835171246864,18.826688487019492,23973,0.6779184432541517,147.72289110769512,1,0.49101847872797594,0.053116085746543994,182.84233958724806,195.47889911701466,46.861498055439924,13.83162041589338,11.313708498984761,157.1190913991126,134.4141908255586,-84.72659187244061,2013.6530291048848,0.7149292954573896,7.2032197585795075,68.54230648395605,110.15263795247301,0.0024109254591166973,0.006225680932402611,0.0011749446857720613,0.00012207217514514923,0.3966318216465805,0.008789196610450745,0.02699320949614048,0.003906301387516002,0.006462278638748198,0.0039992010317962574,0.003570611122995615,0.0022583352401852608,0.0059967958368361,0.002243076218292117,0.001261466818636181,0.0017480469037189177,0.004928664304316044,849.3765979775516,544.6012460122096,0.0,848.9978411809324,544.4835171246864,0,853.0,539.0,484.0,0.0,0.0,9
1,10,Trial1_10-0002.tif,Trial1_10-0001.tif,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,/Users/Maddie/Downloads/Day5_N1_Vimentin_231/A/A_FIP,11112,16974,196,634,73,496,131.1029517638589,565.2452303815695,6.81108238454549,13234,0.5768192417383755,118.94636531267834,1,0.6546482856132909,0.14681954255450264,132.84196890341855,147.35331689514152,49.33558553417604,15.724407331495572,13.038404810405298,115.84534983209386,108.51486026411392,19.635565383617447,975.2346314604056,0.8396554329756687,3.480811823857948,57.03045783797279,80.07193230651319,0.0032806897070258856,0.0064850845374166965,0.001525902422145009,0.0004577706567943096,1.152883112668419,0.009155413135886192,0.02526894025504589,0.003867568693175498,0.007106075736487077,0.005132330618968034,0.004654001910239458,0.002288853283971548,0.0059967958368361,0.0022583352401852608,0.001270821369372175,0.0024003006765062683,0.006439307238906622,130.57776593814904,564.2189169207061,0.0,131.1029517638589,565.2452303815695,0,156.0,582.0,533.0,0.0,0.0,10
