ImageNumber,ObjectNumber,FileName_Draq5,FileName_Vimentin,PathName_Draq5,PathName_Vimentin,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_Draq5,Intensity_IntegratedIntensityEdge_Vimentin,Intensity_IntegratedIntensity_Draq5,Intensity_IntegratedIntensity_Vimentin,Intensity_LowerQuartileIntensity_Draq5,Intensity_LowerQuartileIntensity_Vimentin,Intensity_MADIntensity_Draq5,Intensity_MADIntensity_Vimentin,Intensity_MassDisplacement_Draq5,Intensity_MassDisplacement_Vimentin,Intensity_MaxIntensityEdge_Draq5,Intensity_MaxIntensityEdge_Vimentin,Intensity_MaxIntensity_Draq5,Intensity_MaxIntensity_Vimentin,Intensity_MeanIntensityEdge_Draq5,Intensity_MeanIntensityEdge_Vimentin,Intensity_MeanIntensity_Draq5,Intensity_MeanIntensity_Vimentin,Intensity_MedianIntensity_Draq5,Intensity_MedianIntensity_Vimentin,Intensity_MinIntensityEdge_Draq5,Intensity_MinIntensityEdge_Vimentin,Intensity_MinIntensity_Draq5,Intensity_MinIntensity_Vimentin,Intensity_StdIntensityEdge_Draq5,Intensity_StdIntensityEdge_Vimentin,Intensity_StdIntensity_Draq5,Intensity_StdIntensity_Vimentin,Intensity_UpperQuartileIntensity_Draq5,Intensity_UpperQuartileIntensity_Vimentin,Location_CenterMassIntensity_X_Draq5,Location_CenterMassIntensity_X_Vimentin,Location_CenterMassIntensity_Y_Draq5,Location_CenterMassIntensity_Y_Vimentin,Location_CenterMassIntensity_Z_Draq5,Location_CenterMassIntensity_Z_Vimentin,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_Draq5,Location_MaxIntensity_X_Vimentin,Location_MaxIntensity_Y_Draq5,Location_MaxIntensity_Y_Vimentin,Location_MaxIntensity_Z_Draq5,Location_MaxIntensity_Z_Vimentin,Number_Object_Number
3,1,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,15779,31512,341,489,185,287,253.50123581976044,378.9243298054376,36.231279221789364,22026,0.7280443994837833,141.74077316134597,-127,0.5007298806803757,0.027600460747701217,182.642689071746,207.96393918177256,38.41874542459709,9.707422577776413,6.324555320336759,144.66285793441736,125.20703884016562,-14.486776005196894,2680.3191180703666,0.7163806410605648,16.74157340754755,16.29993163701147,110.3419408344198,111.5048160450533,0.00430304417386651,0.0065003433264791965,0.0022583352401852608,0.0003662165254354477,5.314533966065463,0.975465599696685,0.02841229923069477,0.007400625851005316,0.030746929347515106,0.013153277337551117,0.006691276341945463,0.006514760846127685,0.006992961584030661,0.00706665923347825,0.006301976274698973,0.00679026497527957,0.002288853283971548,0.0060120546258986,0.0022583352401852608,0.0060120546258986,0.004021015722226338,0.00023336360230219038,0.003576523675206564,0.000880639059000159,0.008941787295043468,0.007324330508708954,257.1073509962873,252.65117194059454,382.8282002707689,378.4458692140311,0.0,0.0,253.50123581976044,378.9243298054376,0,285.0,226.0,375.0,379.0,0.0,0.0,1
3,2,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,20863,50796,912,793,708,544,824.9896946747831,653.8144562143508,99.07585829255066,34949,0.7354839779153767,162.98342437747988,-336,0.41072131663910544,0.010093276174779182,219.40903266586957,260.5839595984373,40.792156108742276,7.116293708379181,3.0,190.24519987420697,148.65886014472227,28.513821500841303,5096.561071674458,0.5969555638215686,46.0077825661283,31.154223477933556,182.2416744432412,142.0139491329901,0.004974441137164831,0.006439307238906622,0.0030975816771388054,0.00028992118313908577,17.946208941287992,0.24007618327399466,0.03285267576575279,0.007797360420227051,0.038879986852407455,0.011032273061573505,0.009615001581218035,0.006510809504270336,0.008735161503294887,0.006806976423955812,0.007705806288868189,0.00668345158919692,0.0022735942620784044,0.0060120546258986,0.0022583352401852608,0.0059967958368361,0.005407795286305434,0.00022414966660935976,0.004881299375501259,0.0005257712575833861,0.011505302973091602,0.007034409325569868,828.2932891937164,825.155419473138,671.4539765768448,653.6407557106508,0.0,0.0,824.9896946747831,653.8144562143508,0,788.0,833.0,666.0,685.0,0.0,0.0,2
3,3,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,3445,11500,152,724,37,624,101.2211901306241,678.6618287373004,83.71394286556688,7473,0.7060797720846851,66.22922490572147,-97,0.2995652173913044,0.011945441413575073,107.99229576731061,117.63077828527702,4.242640687119285,1.4452505096561648,1.0,85.335918759457,76.47283287164076,-45.59091423084939,1903.6997102991106,0.46099290780141844,12.961593211395666,12.10502806538716,23.514092021621764,22.650614575948566,0.004226749297231436,0.006363012362271547,0.0021286336705088615,0.00018310826271772385,3.2088147352301855,0.017299564531525376,0.024551765993237495,0.0079346913844347,0.024551765993237495,0.008346685208380222,0.006979856333546401,0.006518593465475045,0.006825570978700076,0.006574924405210034,0.0061875334940850735,0.006530861370265484,0.0022735942620784044,0.0059967958368361,0.0022735942620784044,0.0059967958368361,0.003575992857080419,0.00022879483236993144,0.0034212492478111417,0.0002910554973293542,0.00862134713679552,0.006729228887706995,98.40628138793501,101.2340596333914,680.2022120582186,678.6502679920172,0.0,0.0,101.2211901306241,678.6618287373004,0,77.0,82.0,651.0,719.0,0.0,0.0,3
3,4,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,633,1617,783,810,750,761,766.783570300158,785.7725118483412,10.157061470294884,1041,0.802560038208779,28.38944578214513,-6,0.3914656771799629,0.09845367214962494,42.440409841405554,48.507731342539614,6.324555320336759,1.934545931841927,1.4142135623730951,28.61920375428729,25.318732929050494,7.10543523897481,284.2436867076458,0.6080691642651297,1.853223490063101,1.808331459760666,3.8151064787525684,4.175127868074924,0.0035400930792093277,0.006363012362271547,0.0019531550351530313,0.00018310826271772385,2.9175446759848573,0.005997399381779276,0.021377889439463615,0.007339589763432741,0.021377889439463615,0.0079499501734972,0.006690337509253072,0.006528272417908541,0.006027024453005637,0.0065957786225512224,0.0052948808297514915,0.006530861370265484,0.0023193713277578354,0.006073090713471174,0.002288853283971548,0.006073090713471174,0.0035957402717138407,0.0002333047496338338,0.0032112668312046467,0.00030503579754804204,0.007701991475187242,0.006759746931493282,767.3618347166052,766.7828972655542,782.9128480217632,785.7784713637382,0.0,0.0,766.783570300158,785.7725118483412,0,772.0,773.0,773.0,794.0,0.0,0.0,4
3,5,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,1417,2552,58,806,0,762,22.234297812279465,779.575158786168,14.31806722159071,2084,0.809441988354701,42.47564519686223,-28,0.5552507836990596,0.06984182882533652,64.20173521754393,65.0,9.0,2.3765291850816963,2.0,42.40314912483409,37.69924948892928,-79.12190246111466,504.9310242291875,0.6799424184261037,1.4472114273812622,2.8353094276972115,4.712443772237748,9.391806070692837,0.0023498893715441227,0.006378271151334047,0.00038147554732859135,0.00019836751744151115,0.8285657233456426,0.12300385701544235,0.011505302973091602,0.007186999544501305,0.011505302973091602,0.008194094523787498,0.0033192922646359223,0.006503003274534889,0.0033256483925460465,0.006627950649747944,0.0027008468750864267,0.006561379414051771,0.0022583352401852608,0.006073090713471174,0.0022583352401852608,0.0060120546258986,0.0012662974263093507,0.00022547771948482382,0.0013141574406075373,0.00033802026423044484,0.003982604946941137,0.00680552376434207,21.597432225692206,22.11285607443637,780.105180844694,779.5946998493511,0.0,0.0,22.234297812279465,779.575158786168,0,17.0,10.0,787.0,782.0,0.0,0.0,5
3,6,Trial2_11-0002.tif,Trial2_11-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,1953,4180,607,996,531,941,566.6139272913466,967.9175627240144,43.567469294685345,3510,0.7729698593365819,49.86618925552436,-69,0.4672248803827751,0.02295290537157702,73.63694418849735,84.05950273467003,4.47213595499958,1.4730829717109066,1.0,52.877824055884176,46.718424997052814,-78.33049829919526,1034.0397179880388,0.5564102564102564,3.914396933512762,6.6765546360984445,7.449347764020786,12.833966813981533,0.00238040741533041,0.00634775310754776,0.0010070954449474812,0.00018310826271772385,0.9288957336655902,0.003588660160581171,0.01283283717930317,0.007415884640067816,0.01283283717930317,0.008545052260160446,0.003815201689583589,0.006507363193078406,0.003814310171029588,0.006571411579099607,0.0033722438383847475,0.006515602581202984,0.0022583352401852608,0.006057831924408674,0.0022583352401852608,0.006042572669684887,0.0016414057252339912,0.00022348587655757145,0.0016598481376209648,0.0002887439409339099,0.004684519954025745,0.006729228887706995,567.4559672241552,566.610375552158,968.3097565990021,967.9180761736068,0.0,0.0,566.6139272913466,967.9175627240144,0,560.0,580.0,957.0,942.0,0.0,0.0,6
6,1,Trial2_14-0002.tif,Trial2_14-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,873,3009,835,345,784,286,808.3642611683849,318.794959908362,30.861201661938306,1830,0.8230802461761774,33.33973788969849,-10,0.2901296111665005,0.03240314524866083,59.29543410872508,63.52952069707436,3.0,1.268732232069942,1.0,35.58087517365101,33.675364779048046,40.08632619502843,581.8599564173221,0.47704918032786886,1.9722591179888695,4.015228575095534,2.9556573110166937,6.077256528660655,0.0023651483934372663,0.00666819280013442,0.00044251163490116596,0.00025940360501408577,0.4296063448063328,0.013467068983496968,0.010543984360992908,0.00802624598145485,0.010543984360992908,0.008667124435305595,0.0034063197201880304,0.006934764378403341,0.0033856326586674612,0.006961347684605561,0.002777141984552145,0.006912337150424719,0.002288853283971548,0.0061951628886163235,0.002288853283971548,0.0061951628886163235,0.0013879726557616216,0.00035363383010877827,0.0013680159973410066,0.00038924128491021903,0.0041046771220862865,0.00719844363629818,808.7767102741338,808.3756318065407,318.91515702423743,318.80217589997346,0.0,0.0,808.3642611683849,318.794959908362,0,832.0,790.0,328.0,311.0,0.0,0.0,1
6,2,Trial2_14-0002.tif,Trial2_14-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,5571,13884,651,569,495,480,579.8007539041465,525.5105008077544,13.98755185090625,8833,0.8579038446931725,84.22124140452686,-48,0.40125324114088157,0.07149213891458855,139.53795440898816,159.5900999435742,25.553864678361276,6.825020601820972,5.0,79.62022356160526,71.6960339898282,-82.86119881065359,989.5605332682102,0.6307030453979395,5.975539856124669,6.401831194292754,36.449561746791005,43.8835742934607,0.003566796367522329,0.006927595939487219,0.002319371560588479,0.0005951016210019588,7.544426183748618,1.3734792787397432,0.025894559919834137,0.008453498594462872,0.03768978267908096,0.015259021893143654,0.006460043087702345,0.006920898588424599,0.006542732318576738,0.0078771449099732,0.00553902518004179,0.007415884640067816,0.0022735942620784044,0.006057831924408674,0.0022735942620784044,0.006057831924408674,0.003755855885914671,0.00032876972161287636,0.003932872982528709,0.0013650008951861627,0.008438238874077797,0.008407721295952797,573.805223492842,581.1714295412622,530.0900184165374,525.5982141302595,0.0,0.0,579.8007539041465,525.5105008077544,0,554.0,597.0,551.0,523.0,0.0,0.0,2
7,1,Trial2_15-0002.tif,Trial2_15-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,16711,28165,256,481,125,266,196.46328765483813,381.75231883190713,7.183819722894557,20640,0.8764380237139999,145.86674066444792,-37,0.5933250488194568,0.13920171142561366,216.5454531015457,220.7826985975124,47.265209192385896,16.325629134577824,13.92838827718412,124.89234282892325,104.26981535002534,-17.556611584899315,1228.241774135342,0.8096414728682171,8.723277727840468,9.667277150787413,126.19185318774544,185.99974245531484,0.004257267341017723,0.00938429869711399,0.002746624406427145,0.00157167948782444,5.493204047665736,1.6233319665361146,0.029709314927458763,0.011337453499436378,0.04299992322921753,0.02214084006845951,0.007795601186631339,0.008639211037343534,0.007551424402354463,0.011130377742523777,0.00668345158919692,0.010879682376980782,0.0022735942620784044,0.006729228887706995,0.0022735942620784044,0.006729228887706995,0.004729102423957562,0.0006763024302523868,0.004189566303926398,0.002189947432723648,0.009964141063392162,0.01257343403995037,191.34751307641218,198.08651745449419,379.7512838067209,381.77053122017884,0.0,0.0,196.46328765483813,381.75231883190713,0,235.0,233.0,329.0,374.0,0.0,0.0,1
7,2,Trial2_15-0002.tif,Trial2_15-0001.tif,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,/Users/Maddie/Downloads/Day3_N2_Vimentin_231/RM/RM_FIP,14268,30488,701,554,495,406,605.7744603308103,466.9852817493692,4.644859861910116,18088,0.733743875111365,134.78346272551875,-15,0.46798740488060875,0.2152917482399066,170.8189835419425,207.9663434308542,49.64876634922564,16.797120126084394,14.142135623730951,131.28922702215698,116.05888841187857,84.65289223773291,912.5838738653231,0.7888102609464839,4.273762164870277,7.131166644394398,70.68978503695689,177.3598245959729,0.0030670634005218744,0.009750515222549438,0.0015259021893143654,0.0021515218541026115,5.567139599183276,2.3780312821854674,0.01896696351468563,0.011184862814843655,0.01908903568983078,0.02984664775431156,0.005180317775600336,0.008643838356841694,0.004954428443857365,0.012430601667786157,0.00442511634901166,0.011688411235809326,0.0022735942620784044,0.006942855194211006,0.0022583352401852608,0.006759746931493282,0.0027402926580056613,0.0006575324130589632,0.0024026060337928963,0.003522889477840867,0.0061799040995538235,0.014236667193472385,602.0132572095233,608.1285836183769,471.0897176907887,467.32163918720767,0.0,0.0,605.7744603308103,466.9852817493692,0,557.0,632.0,494.0,469.0,0.0,0.0,2
